	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	NA	NA	NA	NA	NA	NA
MSTRG.4845	49405.3721314405	2.21313787230253	0.0807518468802146	1461.55657264714	1.29320526685335e-316	1.06783080414547e-313	chr11	57712581	57819546	+	NA	AP001931.2
MSTRG.13480	834.874755192366	-7.62618840511603	0.280053359404887	1459.47462245156	3.65972200356549e-316	2.92119010326573e-313	chr18	59430938	59697662	-	NA	CCBE1
MSTRG.1841	2017.80093597587	14.2807569960198	1.18807470874786	1442.13427735556	2.11965088194749e-312	1.63732774255208e-309	chr1	109733931	109741038	-	NA	GSTM3
MSTRG.5656	4059.34569395688	-6.31362589824835	0.162180097622303	1422.08765832951	4.7456632571309e-308	3.55123913610177e-305	chr11	119308528	119321521	-	NA	MCAM
MSTRG.6255	4142.89015850387	-3.4536782600474	0.129021998365638	1414.21212744377	2.42796550998019e-306	1.76182006369654e-303	chr12	47079602	47236662	+	NA	PCED1B
ENSG00000164659.15	184.018453770268	10.9329775884387	1.19532129114171	1409.79029364725	2.21183365863386e-305	1.5577814349896e-302	chr7	86876905	87059654	-	NA	ELAPOR2
MSTRG.4612	1623.79751856591	8.87540033153615	0.477366207161618	1409.24492654503	2.90464810161082e-305	1.98727724117636e-302	chr11	27365960	27472790	-	NA	LGR4
MSTRG.1779	459.889429688502	-2.84629505495568	0.205155051189782	1386.19891509481	2.91002001676092e-300	1.93564831448214e-297	chr1	101236864	101243713	+	NA	S1PR1
MSTRG.23077	1533.1726911202	-5.29752559157246	0.15802819902301	1385.07576822983	5.10044960796895e-300	3.30095584628175e-297	chr6	53001278	53061824	-	NA	CILK1
ENSG00000172817.4	307.230718384152	4.06944689785135	0.207928652968272	1341.69116666103	1.32298409425686e-290	8.33688871607229e-288	chr8	64587762	64798737	-	NA	CYP7B1
MSTRG.2407	3785.95852113159	-4.69806737081765	0.316970256811684	1335.6491306684	2.70761830836061e-289	1.66247764133341e-286	chr1	162631372	162787405	+	NA	DDR2
MSTRG.6387	683.403092785635	9.71122757602635	0.670655399416143	1312.71647814724	2.56209133547082e-284	1.53379597797961e-281	chr12	51351246	51392867	-	NA	GALNT6
MSTRG.4723	2954.90367326503	-6.17387585391575	0.161554114368122	1241.86157457423	6.06054087448125e-269	3.53965150683727e-266	chr11	43556435	43856617	+	NA	AC068205.1
MSTRG.28150	1023.04765955574	-8.66122013796189	0.378804771692003	1221.62122952757	1.49308295805675e-264	8.51270583657783e-262	chrX	133300102	133415489	-	NA	GPC4
MSTRG.28188	705.220590991304	-10.7562118796377	0.742294167298251	1214.80950281709	4.48765428551422e-263	2.49910161676566e-260	chrX	138614726	139222777	-	NA	FGF13
MSTRG.10708	530.485528188055	8.37518149457606	0.41506159666929	1173.9140162851	3.34917574571046e-254	1.82271278197234e-251	chr16	35743267	35756515	+	NA	LINC02167
MSTRG.16562	82833.0815960457	10.0759902603567	0.31024107893153	1159.43420618527	4.63978940670427e-251	2.46898660295423e-248	chr2	215360439	215436073	-	NA	FN1
MSTRG.14983	754.216778942094	-6.09742534367115	0.259536284080412	1145.48270314679	4.93633272209855e-248	2.56968311659504e-245	chr2	13516279	13533235	-	NA	NA
MSTRG.23041	783.531346460408	-12.1408261265938	1.18675352442091	1129.28935064009	1.60938524007456e-244	8.19964658698411e-242	chr6	46129988	46146688	+	NA	ENPP4
MSTRG.1858	314.740687004947	1.9110428229309	0.159966046172705	1121.10078292986	9.62071640060628e-243	4.79953489435246e-240	chr1	111185968	111204535	-	NA	DENND2D
MSTRG.24160	1140.18449972916	-3.39540532571131	0.212121788167594	1106.47765378431	1.43130985784731e-239	6.99472364408402e-237	chr7	36509533	36724549	-	NA	NA
MSTRG.24037	355.473108948391	6.2098788708892	1.20026376370297	1102.74265201723	9.24796291377279e-239	4.42903439866407e-236	chr7	22118235	22357154	-	NA	RAPGEF5
MSTRG.20689	1195.62126898351	-6.36540908597568	0.220122120786731	1095.35496595355	3.70514090503687e-237	1.73967262964731e-234	chr4	105894774	106004027	+	NA	NPNT
MSTRG.14958	685.832362542952	4.19485700301118	0.181393073771328	1087.686394037	1.70801294283649e-235	7.86539960176204e-233	chr2	9473657	9496543	+	NA	IAH1
MSTRG.11676	294.096630041273	4.491095018017	0.213523199770002	1080.60863237808	5.86128109823003e-234	2.64819315430597e-231	chr17	16866726	16880663	+	NA	NA
MSTRG.10520	9715.32983966451	3.13538817626086	0.151175875680054	1076.58978557283	4.36381622697583e-233	1.93511006242895e-230	chr16	29662978	29698699	+	NA	SPN
MSTRG.7412	166.271466447507	9.69640819179335	1.18953162170183	1073.25618903466	2.30714859304136e-232	1.00449054925397e-229	chr13	26557682	26688948	+	NA	WASF3
ENSG00000146530.14	177.523600738083	-0.114655989866571	1.67409300873738	1067.4470693683	4.20081488463015e-231	1.79629845048846e-228	chr7	12330884	12403941	-	NA	VWDE
MSTRG.10806	590.786390084837	7.74809991026618	1.20073518854294	1061.44206580785	8.43491610447235e-230	3.54355264978412e-227	chr16	55509071	55586666	+	NA	LPCAT2
MSTRG.6967	1083.17005776702	11.2406168846024	0.746420497417186	1057.53930160795	5.92593470218159e-229	2.44659366169725e-226	chr12	107318420	107659642	+	NA	BTBD11
MSTRG.12916	2702.64402158206	3.80093849686882	0.138617603751761	1050.19097112974	2.32763724589725e-227	9.44705110004331e-225	chr17	78852976	78925387	-	NA	TIMP2
MSTRG.20443	199.471219173016	4.47086587220936	0.458514172860588	1049.05316582825	4.10914660761603e-227	1.63996041109956e-224	chr4	70628743	70686816	+	NA	ENAM
MSTRG.14223	378.632961001964	-9.48669555839787	1.18592900333244	1046.07358093303	1.82030356255259e-226	7.14573591948923e-224	chr19	21358929	21379302	+	NA	ZNF738
MSTRG.7507	222.645164371301	1.0273965280493	0.796827622024299	1041.02523172065	2.26636805652369e-225	8.75329830347037e-223	chr13	41189833	41194569	-	NA	KBTBD7
MSTRG.5391	727.021829687423	9.94946549424343	1.19303033813423	1035.67512314674	3.28076444196252e-224	1.24700294170213e-221	chr11	95089845	95132645	+	NA	ENDOD1
MSTRG.3851	1890.43531050334	-1.65916139777365	0.276560357157887	1027.10213446837	2.37560604105302e-222	8.88847847797744e-220	chr10	88273863	88584530	-	NA	RNLS
MSTRG.26969	9477.40874482453	-0.864213007302354	0.0822103835280939	1026.36648804494	3.43054191655027e-222	1.26381164205712e-219	chr9	109498324	110172512	+	NA	PALM2AKAP2
ENSG00000138675.16	297.239199147583	-10.7413674933933	1.18726210317186	1019.87833939814	8.7674226713779e-221	3.18098035286084e-218	chr4	80266598	80336680	+	NA	FGF5
MSTRG.5779	236.721102720245	9.01262636359038	0.68429919926813	1018.20992589141	2.01747661151794e-220	7.21052163274754e-218	chr12	1500524	1504424	+	NA	LINC00942
ENSG00000204147.11	187.501949090506	-0.114656304915301	1.67519047929141	1013.95106580904	1.69316719811022e-219	5.96243848910991e-217	chr10	50739317	50816495	+	NA	ASAH2B
MSTRG.1048	231.765763502184	3.74289076518396	1.29656878033005	1012.60334134272	3.3194508616425e-219	1.15199377294045e-216	chr1	34409989	34413774	None	NA	NA
MSTRG.2885	182.337420443097	0.628491231960429	0.190707795288302	1009.24918994985	1.77293132192147e-218	6.06494477639023e-216	chr1	220748224	220784815	+	NA	MTARC2
MSTRG.4604	111.703327139049	-11.2911386481628	1.20107032918383	1004.38218078977	2.01605277798295e-217	6.79949293261687e-215	chr11	23723147	23725629	None	NA	NA
MSTRG.27850	119.576668177194	11.270771071629	1.20077751251721	999.761897449577	2.02667663337657e-216	6.74038870317157e-214	chrX	76173039	76178314	+	NA	PBDC1
MSTRG.12413	1229.59666100676	-0.223003650417119	0.173480244395923	999.590529706994	2.20779803751975e-216	7.24218243923945e-214	chr17	48958553	48980746	-	NA	NA
MSTRG.26133	10905.3404188362	4.52218450728699	0.14851192806394	979.861937440131	4.20386557519483e-212	1.36034817653534e-209	chr8	126552442	126558478	-	NA	LRATD2
MSTRG.13310	1923.7590402247	7.40840804496024	0.477428568384082	977.752851003183	1.20549156460182e-211	3.84889346746068e-209	chr18	26906480	27185308	-	NA	CHST9
ENSG00000071967.12	127.92354683917	-10.5205752176976	1.20264375001102	972.589576506532	1.58930627358385e-210	5.00756947726828e-208	chr2	171522246	171558129	+	NA	CYBRD1
ENSG00000237807.4	129.747623907611	6.50602225948044	0.420866308269508	971.512308262663	2.72203225062293e-210	8.46516678875542e-208	chr8	53493522	53524336	-	NA	AC022034.1
ENSG00000029534.21	238.895238078561	8.44953743109742	0.580516556295302	944.99360401869	1.53942846672446e-204	4.72604539284409e-202	chr8	41653219	41896762	-	NA	ANK1
MSTRG.26085	384.239952482065	-7.94361480641126	1.03321353100108	942.920180206693	4.33632487011812e-204	1.31440044733985e-201	chr8	124450819	124462150	+	NA	TRMT12
MSTRG.23695	12914.8551443787	1.64679850227054	0.13752095489408	935.483145769894	1.77966184123404e-202	5.3269728062738e-200	chr6	151239966	151358559	+	NA	AKAP12
MSTRG.2397	628.645280435745	6.21277261594544	0.325477249851284	923.44943356264	7.25470068503755e-200	2.14470447659147e-197	chr1	162069690	162386812	+	NA	NOS1AP
MSTRG.8838	441.52240528978	-12.5318416413511	1.2007787543563	912.343764959993	1.86021522987623e-197	5.43228218227028e-195	chr14	105248489	105251093	+	NA	BTBD6
MSTRG.12358	18162.9937015786	2.71370058141195	0.158601940298795	891.312040998063	6.78407833829817e-193	1.95724746854082e-190	chr17	47253826	47441312	+	NA	ITGB3
ENSG00000151892.14	145.16697207458	-11.6573295196725	1.20655405611491	878.177466554546	4.79083238474639e-190	1.36572943196592e-187	chr10	116056924	116273467	-	NA	GFRA1
MSTRG.20979	4462.51969604169	-14.9203392536759	1.20931708940641	877.107665673645	8.1743117387167e-190	2.30284786935659e-187	chr4	154563010	154572807	+	NA	FGB
MSTRG.18018	555.326881116953	-1.35835099055604	0.170338455406539	874.38519677003	3.18386238738568e-189	8.86520566608576e-187	chr22	27978013	28679865	-	NA	TTC28
MSTRG.19946	1627.41295429948	1.68640359711664	0.134562694806388	866.022099686128	2.07441486158082e-187	5.70964807763383e-185	chr3	190322540	190412138	+	NA	CLDN16
MSTRG.3331	310.559232595102	-11.4526149447835	1.18561288603262	863.130157284535	8.79322652198613e-187	2.39275684426682e-184	chr10	25934228	26212532	+	NA	MYO3A
MSTRG.21611	6274.83796313358	-8.09086679343684	0.257093493394547	862.42357346081	1.25142136098662e-186	3.36702650676242e-184	chr5	76716125	76735770	+	NA	F2R
MSTRG.3433	107.469514068135	-5.6262766084515	1.21448160778198	860.785724808992	2.8356070867698e-186	7.54460525553218e-184	chr10	38348577	38351353	None	NA	NA
MSTRG.24569	229.44718122534	-5.05981480500036	1.2456935622525	855.467723486667	4.03731633809408e-185	1.06239095639561e-182	chr7	95583498	95596516	-	NA	PDK4
MSTRG.14841	829.484267476523	-6.30598353503217	0.403100095891433	853.772795650192	9.41265257328904e-185	2.44994976652152e-182	chr19	57191499	57222846	+	NA	ZNF264
MSTRG.6928	1130.8609350297	0.28948453358028	0.267384980853826	852.104317057188	2.16567743297585e-184	5.57627008710105e-182	chr12	105019783	105107643	-	NA	ALDH1L2
MSTRG.2799	650.550762217279	7.04066921752198	0.342642087730754	847.335670151139	2.34356233675696e-183	5.97010039531725e-181	chr1	207034365	207081024	+	NA	PFKFB2
MSTRG.3329	795.232474830165	0.17437151862908	0.146656093727788	842.183762853458	3.07098557807264e-182	7.74082322658183e-180	chr10	26438340	26567803	+	NA	APBB1IP
ENSG00000174652.19	336.470096235348	-10.9713737191843	1.18683399437699	840.512366776838	7.07597788903423e-182	1.76501423469598e-179	chr19	9412460	9435571	-	NA	ZNF266
ENSG00000139915.21	130.083687608352	-2.69076982444307	0.235905707956114	840.18029120015	8.35237830998694e-182	2.06191805165925e-179	chr14	46839628	47675605	-	NA	MDGA2
MSTRG.1792	3611.80221737435	-1.13217822529332	0.147265791111482	838.393105744163	2.03906584449427e-181	4.98239497063876e-179	chr1	104444890	104468485	-	NA	NA
MSTRG.19357	2530.5502357736	3.4170663052802	0.135758396520879	835.452550273591	8.85530694490906e-181	2.14191091012922e-178	chr3	125082635	125212864	-	NA	SLC12A8
MSTRG.7416	609.633130030343	-1.05064591702249	0.175032441150642	831.363783267778	6.82347016900604e-180	1.63394816667019e-177	chr13	27270829	27275192	+	NA	RASL11A
MSTRG.24183	235.812530195635	-0.750706055862087	0.357499332707667	828.64986775004	2.64616091730763e-179	6.27375933919292e-177	chr7	37905931	38025695	-	NA	SFRP4
MSTRG.16228	199.292688673001	5.37339847487635	0.286024430584685	823.081345728939	4.26918351340908e-178	1.00225361188327e-175	chr2	174798808	175005381	-	NA	CHN1
MSTRG.6921	536.844316226759	4.80183264904861	0.248904922164495	823.037171198947	4.36441032573677e-178	1.01466184136012e-175	chr12	104262313	104280864	-	NA	AC089983.1
MSTRG.13950	312.16262774991	7.48742175331727	0.659126425715938	821.094877816801	1.15127059896089e-177	2.65080055410746e-175	chr19	11814272	11835216	+	NA	ZNF440
MSTRG.11492	308.223180972065	6.49739512515307	0.363610502161293	812.711760858237	7.57399769575591e-176	1.72730427450068e-173	chr17	5105540	5123116	-	NA	ZNF232
MSTRG.19471	681.551664383884	-7.90386684909191	0.572365350388929	810.346251985109	2.46807009434441e-175	5.57551004520483e-173	chr3	131361897	131365122	+	NA	NUDT16P1
MSTRG.4925	166.472465234919	-7.67721594769993	1.04546882254938	807.961666925391	8.1194235414137e-175	1.81708145909058e-172	chr11	63911229	63917164	-	NA	RCOR2
MSTRG.2426	4348.49876038641	0.127015771595269	0.183178521786063	805.200779938634	3.22331492928906e-174	7.14680549044036e-172	chr1	163111120	163321894	-	NA	RGS5
MSTRG.5105	4282.05213264184	3.78714043944822	0.201635914317865	805.162197599588	3.28602156137035e-174	7.21899745950223e-172	chr11	69294150	69367726	+	NA	MYEOV
MSTRG.21855	498.387364801257	-2.6504088606919	0.205472532957754	803.546702389973	7.36267600917512e-174	1.60278763377916e-171	chr5	112142440	112419313	-	NA	EPB41L4A
MSTRG.23551	693.144051719977	3.13988605128926	0.197786099676484	802.252886355852	1.40486703850917e-173	3.0307158652379e-171	chr6	132743869	132763459	-	NA	VNN2
MSTRG.17374	185.154922654237	11.8030108645973	1.2015698940728	798.205614021111	1.06021446056774e-172	2.26677638149599e-170	chr20	58459100	58515399	-	NA	APCDD1L
MSTRG.12298	243.691292318033	0.34879729431266	0.202664867907179	791.83461545143	2.55330501810734e-171	5.41074707642464e-169	chr17	44959692	44968303	-	NA	C1QL1
MSTRG.22612	1185.49107375307	1.46706666696235	0.168582193598758	782.405097788053	2.83205460023361e-169	5.94880521554335e-167	chr6	18387349	18468870	+	NA	RNF144B
ENSG00000181523.13	422.67384313796	1.95915601812908	0.318864727733462	777.93894162195	2.63436049946945e-168	5.48542578437352e-166	chr17	80206715	80220923	-	NA	SGSH
MSTRG.2136	501.999247199821	-7.33701872826835	0.426659637618611	777.742139289038	2.9064006999175e-168	5.99971303105383e-166	chr1	151364303	151372707	-	NA	SELENBP1
ENSG00000178695.6	98.3794324646247	-1.07643661205717	1.6854618132981	775.961236545982	7.07256717747494e-168	1.44751874898987e-165	chr13	76880174	76886405	-	NA	KCTD12
MSTRG.12739	244.790346535502	1.17183692515221	0.265960873348571	774.803813217597	1.26062251061015e-167	2.55820903720939e-165	chr17	69414696	69553865	+	NA	MAP2K6
ENSG00000069431.11	86.3333450455064	-9.95656222262768	1.20788423423891	765.008385508044	1.67833840061667e-165	3.37726817992998e-163	chr12	21797400	21942529	-	NA	ABCC9
MSTRG.18375	458.078296908513	-11.8012929626008	1.19417763320459	762.161155538813	6.95568784395269e-165	1.38800750926076e-162	chr22	50263712	50270767	-	NA	MAPK11
MSTRG.21221	345.441743042164	6.02164081002964	0.445944773548657	761.904264781344	7.90770011465335e-165	1.56494038797925e-162	chr5	10492313	10502728	-	NA	NA
MSTRG.6721	156.790660833424	6.1460116467713	0.375410924356908	761.683871373921	8.82765502820973e-165	1.73268055168451e-162	chr12	75940594	75945958	+	NA	NA
MSTRG.25748	388.524317562284	-9.5412261818482	0.849876586993498	748.761254905616	5.60079876396064e-162	1.09037989594961e-159	chr8	78516339	78605267	+	NA	PKIA
MSTRG.5944	293.450479637208	-0.263751651931133	0.267345780565148	737.927850604799	1.25180756819012e-159	2.41740193773231e-157	chr12	10170541	10191801	+	NA	TMEM52B
MSTRG.13809	417.641742474524	-10.5180452620081	1.19268537511614	737.569118004058	1.49737322777616e-159	2.86848794498624e-157	chr19	7112254	7294414	-	NA	INSR
MSTRG.27459	1173.23420215264	-2.9913693571135	0.157704226487156	733.034280717053	1.44119211423519e-158	2.73895129900602e-156	chrX	15561032	15675608	-	NA	ACE2
MSTRG.22570	1023.68254269763	-0.0999872124804451	0.200541044074855	730.611764744547	4.83111839989607e-158	9.10913080345758e-156	chr6	11183297	11382348	-	NA	NEDD9
MSTRG.7066	1072.7702371369	-2.52935797586821	0.118619682766673	720.109169904005	9.15211877267223e-156	1.71216121976882e-153	chr12	113583885	113773726	-	NA	LINC01234
MSTRG.4809	9332.23863855452	1.3726386066685	0.0890374977141532	714.337272885637	1.63354272581024e-154	3.03231117149241e-152	chr11	57667746	57701182	+	NA	ZDHHC5
MSTRG.5999	450.943781494229	-11.5860414522167	1.21601212288706	709.3801203544	1.94112979154259e-153	3.57556107602145e-151	chr12	14774382	14778002	+	NA	H2AJ
MSTRG.8707	752.366039568007	0.966112948120538	0.111766102569661	701.336478790732	1.07705987534695e-151	1.96879967748535e-149	chr14	95181939	95319908	-	NA	CLMN
MSTRG.311	665.170754347456	0.657423895831056	0.22458665816345	693.108101544256	6.55320655406682e-150	1.18881124351276e-147	KI270879.1	267816	278485	-	NA	NA
MSTRG.22963	211.012173068621	5.54447471779232	0.288996457707809	689.744476700393	3.51400505540278e-149	6.32679436516354e-147	chr6	42101118	42142620	-	NA	C6orf132
MSTRG.25329	8036.01547823017	0.335815015368621	0.0962585288711703	687.840858656311	9.09011530866031e-149	1.62441717299388e-146	chr8	20197380	20226819	+	NA	ATP6V1B2
MSTRG.4549	352.985636236936	4.38365922026302	0.24017429811692	682.983661556798	1.02745304664351e-147	1.82247338184634e-145	chr11	15966448	16739591	-	NA	SOX6
MSTRG.14358	173.729085137625	-7.46008949735857	1.19339608160956	682.518896381496	1.29579730853941e-147	2.281556055168e-145	chr19	36534773	36605276	-	NA	ZNF529
MSTRG.4680	718.021869646522	-0.941097862026352	0.138200756045326	673.321931187236	1.27848425553617e-145	2.23464116664739e-143	chr11	36296287	36465204	+	NA	PRR5L
ENSG00000133687.16	385.973782491324	1.82225817201417	0.202497565525248	660.703508981969	6.96073565598069e-143	1.207838956653e-140	chr12	29500839	29784759	-	NA	TMTC1
MSTRG.11762	580.639036822317	-5.44283916628264	0.23989029517783	660.213534931585	8.88978064676493e-143	1.53147257098873e-140	chr17	18968788	19004764	-	NA	FAM83G
MSTRG.3604	620.052294643988	-2.8016895275258	0.298155375154038	658.187862551311	2.44396482907654e-142	4.18022727121906e-140	chr10	60026297	60733490	-	NA	ANK3
MSTRG.14067	80.2551006790419	-6.61330466917731	0.530330037851262	658.012301676724	2.66783986776058e-142	4.53078677116276e-140	chr19	15828205	15836328	+	NA	UCA1
MSTRG.5866	177.503086473063	6.43035025685649	0.392159146604193	656.268280758627	6.37227537580478e-142	1.07458102921846e-139	chr12	6618834	6635960	-	NA	LPAR5
MSTRG.3260	1365.75517959245	-1.84154449648587	0.160164742359536	655.936239332764	7.52119509478926e-142	1.25945830587289e-139	chr10	19816238	20289856	+	NA	PLXDC2
MSTRG.2861	917.198639642695	-0.852418669586601	0.13792411336833	653.451067941367	2.6008373594583e-141	4.32497579233254e-139	chr1	215005774	215237090	+	NA	KCNK2
MSTRG.8936	739.360094341824	-4.21757061380348	0.299955520797833	645.70323624188	1.24437522386844e-139	2.05502131798302e-137	chr15	36310264	36361703	-	NA	NA
MSTRG.20862	406.312281893351	4.36829869172606	0.188848427617086	644.936974937309	1.82425621973817e-139	2.9920300984829e-137	chr4	139716752	140154184	-	NA	MAML3
ENSG00000143772.9	99.3973689242583	2.32594723017616	1.46440972846521	642.625081784243	5.78535035502489e-139	9.42421765996095e-137	chr1	226631689	226739323	-	NA	ITPKB
MSTRG.17548	99.0961092728347	0.338388288437717	0.719526064076263	641.962521831523	8.0534028790085e-139	1.30301881986985e-136	chr21	25496475	25518865	-	NA	NA
MSTRG.19696	123.309446620341	0.146442816920652	0.897222584713165	641.658522628392	9.37323443078196e-139	1.50638571596983e-136	chr3	158645821	158672648	-	NA	LXN
ENSG00000124613.8	177.163659560323	-5.17671167265623	1.22146608361354	640.749600776454	1.47554512571553e-138	2.35556023869228e-136	chr6	27374614	27403904	+	NA	ZNF391
MSTRG.24951	7234.9039076565	3.22605536545212	0.142974987715027	632.226146618595	1.03967643087817e-136	1.64874780223899e-134	chr7	134744251	134970729	+	NA	CALD1
MSTRG.11262	64.8485302596553	9.41784313871421	1.20823329199396	627.220575069701	1.26509642339204e-135	1.99302624700959e-133	chr16	85580008	85583571	-	NA	AC092127.2
MSTRG.13133	486.630527727001	-0.776312618277528	0.147531925054638	625.110169320268	3.62796320756376e-135	5.67811810250469e-133	chr18	5954705	6415237	-	NA	L3MBTL4
MSTRG.16139	303.381325303243	-3.59852079256948	0.328489276283662	624.18886130195	5.74649607011832e-135	8.93542823993853e-133	chr2	165087525	165204050	-	NA	SCN3A
MSTRG.15464	80.7671125169674	-5.83512155849869	0.435411122588603	620.495739385056	3.63136467732725e-134	5.61010700408248e-132	chr2	68365281	68397453	+	NA	PLEK
MSTRG.27708	887.818036899484	-6.4762834781271	0.702094229777984	616.821542643429	2.27313936942397e-133	3.48926893206579e-131	chrX	50979154	50993226	+	NA	NA
MSTRG.27019	4609.40773000849	5.30309833577399	0.207156610747442	616.580170850927	2.56421577211228e-133	3.91100069292998e-131	chr9	114060126	114078328	-	NA	AMBP
MSTRG.7465	747.977017671652	6.06931493637806	0.258865232184992	614.435473207666	7.48024036287076e-133	1.12996512128611e-130	chr13	36746772	36789233	-	NA	NA
ENSG00000180626.10	98.6993089266087	-8.97659720192608	1.20451342095091	614.429413882926	7.50290045454319e-133	1.12996512128611e-130	chr17	5179534	5191868	-	NA	ZNF594
MSTRG.19230	438.246596921185	-2.54169416451443	0.23367435729296	612.724911371142	1.75693594707629e-132	2.62947426179305e-130	chr3	111592899	111595346	-	NA	ZBED2
MSTRG.18150	379.700430494918	-1.37984534589965	0.215700246066858	611.492747905025	3.24998333128216e-132	4.83379508390576e-130	chr22	37051735	37063390	+	NA	KCTD17
MSTRG.23481	3199.70121969699	0.327237302356522	0.147814011767943	609.155411100779	1.04375478953798e-131	1.54282420927632e-129	chr6	119177204	119349761	-	NA	NA
MSTRG.21797	182.647995449524	-11.7016886025195	1.20284860882155	609.074963179281	1.08652303952835e-131	1.59618900027888e-129	chr5	102233985	102296284	-	NA	SLCO4C1
MSTRG.7801	462.733689417783	2.87857905474957	0.243229956783145	608.294405672114	1.60419551144015e-131	2.34232108030158e-129	chr13	106374476	106384315	+	NA	LINC00460
ENSG00000198774.5	152.018517240879	-9.39514134611342	1.19806139186932	607.768645317202	2.08563139808739e-131	3.02681996718791e-129	chr12	85800702	85836409	-	NA	RASSF9
ENSG00000188321.13	266.911228201172	10.685778431442	1.18996102867594	604.897249408325	8.74436526013233e-131	1.26140102722367e-128	chr19	9323771	9351162	+	NA	ZNF559
ENSG00000288029.1	70.3625429700004	10.5100532998778	1.21667256400015	603.112601838447	2.13117982759076e-130	3.05588216475978e-128	chr3	54033987	54058864	+	NA	AC115282.2
MSTRG.24985	625.358777674819	6.70789064242136	0.334979651329097	602.491462872201	2.90586674887638e-130	4.14189792670202e-128	chr7	138797951	138838101	+	NA	TMEM213
